index,name,latitude,longitude,region
127,POGGIO NATIVO,42.22,12.8,Lazio
241,VILLAPIANA,39.85,16.45,Calabria
352,FONDO,46.43,11.13,Trentino-Alto Adige/SÃ¼dtirol
355,FONDI,41.35,13.42,Lazio
430,FALIESI,40.88,14.77,Campania
459,SAN SEVERINO (CENTOLA),40.09,15.35,Campania
496,SERRA SAN BRUNO,38.58,16.33,Calabria
594,CHIOMONTE RAILWAY STATION,45.12,6.99,Piemonte
607,RAIANO RAILWAY STATION,42.1,13.81,Abruzzo
618,MACCAGNO CON PINO E VEDDASCA,46.05,8.73,Lombardia
638,AEOLIAN ISLANDS,38.53,14.9,Sicilia
642,BOLLATE NORD RAILWAY STATION,45.55,9.11,Lombardia
724,FUMONE,41.73,13.28,Lazio
834,CONCARENA,46.01,10.28,Lombardia
894,MONTALCINO,43.05,11.48,Toscana
959,PRATIGLIONE,45.35,7.6,Piemonte